enjoyAmerican,enjoyKorean,enjoyJapan,enjoyChinese,money,platform
0.4104741463588616,0.9651451507211026,0.12800945261309093,0.2823365942886613,1583,Netflix
0.3343333202806771,0.9805749652463828,0.07471887687445644,0.6438655741997964,854,KKTV
0.7181198039402293,0.2867142495186802,0.66238873624734,0.23997905681145937,1971,Disney+
0.1509038250323348,0.9554201724212388,0.37872526178050747,0.8361594801693574,748,Disney+
0.5008273288901708,0.17573752035420742,0.8583040516148208,0.7832037234721912,1260,KKTV
0.7293969085499089,0.029878132341624397,0.533376304291006,0.7538480527972866,824,Disney+
0.6477894574223528,0.6829163874444636,0.6801861222594222,0.21756904063202964,1522,Netflix
0.6601419201628993,0.8960032303719657,0.5848021518701644,0.05257855064173378,1030,KKTV
0.9316317723098758,0.31113748788716356,0.31185894770406797,0.6431410752664541,1738,Disney+
0.15765366544216286,0.3705066615009852,0.41254319982881116,0.42756796900049165,989,KKTV
0.648633146288351,0.14309572750305755,0.19924293202943966,0.7893753640231846,1918,iQiyi
0.7689898278170679,0.11576623493543736,0.004732012272868125,0.24041659838894747,784,Disney+
0.756178934185725,0.10191956124436063,0.23004198934862885,0.8331719124519308,1716,Netflix
0.1848529439281954,0.03890812670460453,0.33326161910651364,0.7319556229306065,969,KKTV
0.3093703267381317,0.5588125435763359,0.9453832234099896,0.32125554189367445,874,KKTV
0.10773892432719634,0.4624226709492676,0.8395222800873632,0.2716575575283715,916,KKTV
0.538810829784995,0.5605304741958061,0.6330601278274571,0.922576681939793,1165,KKTV
0.4101356758645276,0.6071367101132843,0.10763897586695592,0.15023681419928303,1805,Netflix
0.31047621115398305,0.11767127624635965,0.8263736127303495,0.29524794334353266,1905,KKTV
0.6321722615638843,0.572655426880727,0.5524640881885075,0.11387972013420766,1353,Disney+
0.04207211519469223,0.9701734240264895,0.1358102016803393,0.9794532520533594,1092,KKTV
0.13919668169221977,0.8469843308285089,0.8364973008913634,0.4193210005428083,746,Disney+
0.048441153786933144,0.18414426122534644,0.7026606245755315,0.5312063549932233,1749,KKTV
0.8811291709320368,0.6796153027155059,0.8810023071574292,0.1626409025219221,907,Disney+
0.9946696245121472,0.1336920959212986,0.5637417215829654,0.5974559428319729,911,Disney+
0.08972494614218607,0.48948285902631417,0.05298136418873278,0.6108393128174419,1491,Netflix
0.30656386579021955,0.01913736239437347,0.5249383257352955,0.8548182720726575,889,KKTV
0.6810384427934043,0.2958823951645745,0.9317440785744431,0.7386399489337555,1577,KKTV
0.23271233104907574,0.22252219438282073,0.9418847828581728,0.5254684168665579,1999,KKTV
0.4287317966137246,0.9884115112276328,0.6432695965484916,0.9219259528509759,1473,Netflix
0.9648351755735481,0.9491963471949642,0.5054130635526575,0.3609594366964929,1634,Disney+
0.9049639595495858,0.007486111783740923,0.15379044763408067,0.8989708065166324,1545,Disney+
0.8349645026973672,0.9258229771599018,0.48266722791528427,0.05657308297775265,1974,Netflix
0.3179016169395159,0.6517867443722485,0.007210295213975759,0.9628616509399651,1326,Netflix
0.09140245464843455,0.5953675336988526,0.8791000405534615,0.9572857152389379,1931,iQiyi
0.39843807939129083,0.008348065662836412,0.6818106903030708,0.08080725672980105,1002,KKTV
0.7591327261777665,0.607740951280406,0.47721066916804533,0.2897594192498335,1254,Disney+
0.7274720439599541,0.8010475496938031,0.7178712834710513,0.8985867062085772,1982,iQiyi
0.30399362911345007,0.551573719586357,0.39446749006121273,0.19281027986316002,915,KKTV
0.38053649345020735,0.8872604890177495,0.21608570092236945,0.24458921597645755,861,KKTV
0.08866784119339932,0.5730154433585837,0.5152288514227207,0.6326351259901368,1745,Netflix
0.6683176980800245,0.5642669038922362,0.09867212576469397,0.5745480998047758,842,Disney+
0.7413378469297118,0.9015853644249343,0.2999887648890933,0.6245431662448175,1343,Netflix
0.12190180490718672,0.49644734281231373,0.6152776583829136,0.880121138417984,1934,iQiyi
0.9665094212746307,0.4645437199839515,0.9988107662717814,0.9144034341565902,776,Disney+
0.059958102181130624,0.0024829776588665142,0.7006902124742286,0.8931365319416594,1052,KKTV
0.16049182226410597,0.8814552088914526,0.8570526839434965,0.833587795182434,1255,Netflix
0.5774805834222893,0.1483262194877949,0.9732071992965211,0.7063288182557566,1227,KKTV
0.9869803305177468,0.22906099365100718,0.3349121780402833,0.04219388720248285,1459,Disney+
0.1345118824174908,0.49206379897444097,0.38545577158132616,0.968876924522434,1580,Netflix
0.16742749873607488,0.2881421659525766,0.46726477302046965,0.3093057961565322,1764,KKTV
0.2493364422163067,0.7562150623942187,0.3082252845207636,0.12702450463945714,869,KKTV
0.06954453300941299,0.6374381131784599,0.22198811060886126,0.07798914032872595,1589,Netflix
0.44035547498337235,0.9924263524111953,0.33436060691981895,0.6130209669827724,1714,Netflix
0.21654822666511775,0.7307303929276673,0.4819664387393118,0.399461637084246,1334,Netflix
0.27275390863835236,0.25601397572162965,0.4906008996937029,0.32017926372982564,1442,KKTV
0.6600899417760002,0.39830302734397527,0.6178502114175292,0.746509195766563,1919,iQiyi
